0, 0, 0, 0, 0, 0, 0, h, h, h, h, h, 0
0, 0, 0, 0, 0, h, h, h, h, h, h, h, h
0, 0, 0, 0, h, h, h, h, h, h, h, h, h
0, 0, 0, h, h, h, h, h, h, h, h, h, h
0, 0, h, h, h, h, h, h, h, h, h, h, h
0, h, h, h, h, h, h, h, h, h, h, h, h
0, h, h, h, h, h, h, h, h, h, h, h, 0
h, h, h, h, h, h, h, h, h, h, h, h, 0
h, h, h, h, h, h, h, h, h, h, h, 0, 0
h, h, h, h, h, h, h, h, h, h, 0, 0, 0
h, h, h, h, h, h, h, h, h, 0, 0, 0, 0
h, h, h, h, h, h, h, h, 0, 0, 0, 0, 0
0, h, h, h, h, h, 0, 0, 0, 0, 0, 0, 0
