0, h, e, i, e, i, i, e, i, e, h, h, 0
h, e, i, i, i, e, i, e, e, h, h, h, 0
e, e, e, i, d, e, e, e, h, h, h, 0, 0
h, e, e, e, i, e, e, h, h, h, 0, 0, 0
h, e, e, i, e, e, h, h, h, 0, 0, 0, 0
h, h, e, e, e, h, h, h, 0, 0, 0, 0, 0
0, h, h, h, h, h, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, h, h, h, h, h, 0
0, 0, 0, 0, 0, h, h, h, h, h, h, h, h
0, 0, 0, 0, h, h, h, h, h, h, h, h, h
0, 0, 0, h, h, e, e, e, e, e, h, h, h
0, 0, h, h, h, e, e, e, e, e, e, h, h
0, h, e, e, e, e, i, i, e, e, e, h, h
0, e, i, i, e, i, i, e, i, e, e, h, 0
e, e, i, i, i, e, i, i, e, e, h, h, 0
e, e, e, i, d, e, e, e, e, h, h, 0, 0
h, e, e, i, i, e, e, h, h, h, 0, 0, 0
h, e, e, i, e, e, h, h, h, 0, 0, 0, 0
h, e, e, e, e, h, h, h, 0, 0, 0, 0, 0
0, h, e, e, h, h, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, h, h, h, h, h, 0
0, 0, 0, 0, 0, h, h, h, h, h, h, h, h
0, 0, 0, 0, h, h, h, h, e, h, h, h, h
0, 0, 0, h, h, e, e, e, e, e, h, h, h
0, 0, e, e, e, e, i, e, e, e, e, h, h
0, e, e, e, e, e, i, i, i, e, e, h, h
0, e, i, i, i, i, i, e, i, e, e, h, 0
e, i, i, i, i, i, i, i, i, e, h, h, 0
e, e, i, i, d, i, e, e, e, h, h, 0, 0
e, e, e, i, i, e, e, h, h, h, 0, 0, 0
h, e, e, i, i, e, e, h, h, 0, 0, 0, 0
h, e, e, e, e, e, h, h, 0, 0, 0, 0, 0
0, e, e, e, h, h, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, h, h, h, h, h, 0
0, 0, 0, 0, 0, h, h, h, h, h, h, h, h
0, 0, 0, 0, h, h, e, e, e, h, h, h, h
0, 0, 0, h, e, e, i, i, e, e, h, h, h
0, 0, e, e, e, e, i, e, e, e, e, h, h
