0 , 121 , 0 , 0 , 0 , 0.0 ,
0 , 119 , 2 , 0 , 0 , 0.0 , 0 ,
1 , 107 , 12 , 2 , 0 , 1068787.2262366547 , 0 ,
2 , 95 , 24 , 2 , 0 , 2031016.0443622682 , 0 ,
3 , 90 , 28 , 3 , 0 , 3049906.704952783 , 0 ,
4 , 87 , 29 , 5 , 0 , 5001032.109695546 , 0 ,
5 , 78 , 37 , 6 , 0 , 7665516.671588236 , 0 ,
6 , 72 , 42 , 7 , 0 , 10341615.69395715 , 0 ,
7 , 67 , 41 , 12 , 1 , 14174372.650931299 , 0 ,
8 , 55 , 49 , 16 , 1 , 20302363.622721173 , 0 ,
9 , 46 , 49 , 25 , 1 , 29456352.64502053 , 0 ,
10 , 39 , 50 , 31 , 1 , 41716313.8172694 , 0 ,
11 , 28 , 53 , 38 , 2 , 55894465.56968156 , 0 ,
12 , 19 , 55 , 45 , 2 , 72895657.89629863 , 0 ,
13 , 11 , 57 , 51 , 2 , 91375898.92376563 , 0 ,
14 , 6 , 54 , 59 , 2 , 112927684.55694802 , 0 ,
15 , 1 , 48 , 68 , 4 , 136281970.83462405 , 0 ,
16 , 1 , 39 , 77 , 4 , 161014758.30196398 , 0 ,
17 , 0 , 36 , 80 , 5 , 186511390.41392213 , 0 ,
18 , 0 , 32 , 81 , 8 , 211062159.55017006 , 0 ,
19 , 0 , 26 , 83 , 12 , 234226145.47517318 , 0 ,
20 , 0 , 17 , 90 , 14 , 257222685.5600594 , 0 ,
21 , 0 , 10 , 91 , 20 , 281221779.27768445 , 0 ,
22 , 0 , 4 , 89 , 28 , 301477171.615399 , 0 ,
23 , 0 , 1 , 86 , 34 , 318300533.4918606 , 0 ,
24 , 0 , 0 , 83 , 38 , 331633474.4208367 , 0 ,
25 , 0 , 0 , 77 , 44 , 341512316.4575615 , 0 ,
26 , 0 , 0 , 68 , 53 , 346512151.96016973 , 0 ,
27 , 0 , 0 , 64 , 57 , 346954779.6298152 , 0 ,
28 , 0 , 0 , 55 , 66 , 345129556.54870987 , 0 ,
29 , 0 , 0 , 51 , 70 , 339388109.13833344 , 0 ,
30 , 0 , 0 , 45 , 76 , 330561716.2048274 , 0 ,
31 , 0 , 0 , 38 , 83 , 319513331.42023045 , 0 ,
32 , 0 , 0 , 33 , 88 , 306378384.9388426 , 0 ,
33 , 0 , 0 , 30 , 91 , 292333772.36474013 , 0 ,
34 , 0 , 0 , 24 , 97 , 277852723.42485017 , 0 ,
35 , 0 , 0 , 18 , 103 , 261639337.27361804 , 0 ,
36 , 0 , 0 , 13 , 108 , 244551647.115646 , 0 ,
37 , 0 , 0 , 10 , 111 , 226427602.1507678 , 0 ,
38 , 0 , 0 , 9 , 112 , 208717362.0552783 , 0 ,
39 , 0 , 0 , 6 , 115 , 191593935.72236505 , 0 ,
40 , 0 , 0 , 4 , 117 , 175399102.16873986 , 0 ,
41 , 0 , 0 , 4 , 117 , 160036313.98732775 , 0 ,
42 , 0 , 0 , 4 , 117 , 146204940.6058899 , 0 ,
43 , 0 , 0 , 3 , 118 , 133309463.4545779 , 0 ,
44 , 0 , 0 , 3 , 118 , 121605841.59510823 , 0 ,
45 , 0 , 0 , 2 , 119 , 110825616.59932233 , 0 ,
46 , 0 , 0 , 2 , 119 , 100827821.06683555 , 0 ,
47 , 121 , 0 , 0 , 0 , 91618165.3952831 , 121 ,
48 , 121 , 0 , 0 , 0 , 82468197.32387432 , 121 ,
49 , 121 , 0 , 0 , 0 , 74232149.97025351 , 121 ,
50 , 121 , 0 , 0 , 0 , 66818727.04441417 , 121 ,
51 , 121 , 0 , 0 , 0 , 60145753.59489116 , 121 ,
52 , 121 , 0 , 0 , 0 , 54139264.563588396 , 121 ,
53 , 121 , 0 , 0 , 0 , 48732684.43157231 , 121 ,
54 , 121 , 0 , 0 , 0 , 43866088.8504164 , 121 ,
