0, 1001365, 0, 0, 0, 9878.553711, 0
2, 1001365, 0, 0, 0, 9877.613281, 0
3, 993847, 7518, 0, 0, 7816.565918, 0
4, 985593, 15772, 0, 0, 6020.299805, 0
5, 980456, 20909, 0, 0, 4715.047363, 0
6, 976592, 24773, 0, 0, 3666.823242, 0
7, 972331, 29034, 0, 0, 2863.913818, 0
8, 968839, 32526, 0, 0, 2206.352539, 0
9, 966076, 35289, 0, 0, 1717.924683, 0
10, 964794, 36569, 2, 0, 1821.845703, 0
11, 963149, 38198, 18, 0, 19477.914062, 0
12, 956520, 44783, 62, 0, 113039.609375, 0
13, 937994, 63165, 206, 0, 440712.687500, 0
14, 889235, 111507, 623, 0, 1398382.000000, 0
15, 797038, 202898, 1429, 0, 3762429.250000, 0
16, 680057, 318475, 2833, 0, 8507124.000000, 0
17, 554045, 442352, 4968, 0, 16918766.000000, 0
18, 431948, 561542, 7875, 0, 30251910.000000, 0
19, 326044, 663960, 11361, 0, 49238376.000000, 0
20, 237272, 748846, 15247, 0, 73976800.000000, 0
21, 171624, 810471, 19270, 0, 103985504.000000, 0
22, 124126, 853810, 23429, 0, 138331808.000000, 0
23, 88967, 884675, 27723, 0, 176388064.000000, 0
24, 64109, 904456, 32799, 1, 218420832.000000, 0
25, 45706, 915397, 40261, 1, 267424048.000000, 0
26, 32542, 916269, 52552, 2, 331319104.000000, 0
27, 24013, 904940, 72408, 4, 423510784.000000, 0
28, 16138, 881457, 103765, 5, 563416128.000000, 0
29, 10823, 841149, 149385, 8, 774649728.000000, 0
30, 7773, 784000, 209578, 14, 1080884992.000000, 0
31, 5521, 713863, 281957, 24, 1496502016.000000, 0
32, 4037, 632249, 365045, 34, 2028346112.000000, 0
33, 2913, 544928, 453464, 60, 2671609856.000000, 0
34, 2162, 457027, 542084, 92, 3408634880.000000, 0
35, 1701, 373693, 625838, 133, 4212305664.000000, 0
36, 1317, 298482, 701358, 208, 5049920512.000000, 0
37, 843, 233740, 766425, 357, 5888088576.000000, 0
38, 378, 179091, 821277, 619, 6700123648.000000, 0
39, 229, 135286, 864808, 1042, 7461878272.000000, 0
40, 86, 101147, 898328, 1804, 8156235776.000000, 0
41, 32, 74510, 924003, 2820, 8774635520.000000, 0
42, 3, 54632, 942493, 4237, 9312262144.000000, 0
43, 2, 39885, 955414, 6064, 9778257920.000000, 0
